"county_fips_code","year","area_deprivation_index_percent"
"19143",2020,38
"19145",2020,38
"19145",2018,46
"19145",2019,42
"19147",2019,16
"19147",2018,21
"19149",2019,15
"19149",2018,16
"19153",2020,15
"19155",2019,28
"19155",2020,30
"19157",2019,27
"19159",2020,29
"19161",2018,28
"19161",2019,28
"19161",2020,31
"19163",2018,19
"19163",2020,21
"19165",2019,15
"19167",2020,13
"19167",2018,14
"19169",2019,16
"19169",2020,16
"19171",2019,27
"19173",2019,43
"19175",2019,45
"19177",2019,53
"19179",2018,67
"19179",2019,70
"19181",2020,6
"19183",2020,22
"19185",2020,65
"19185",2019,64
"19187",2018,47
"19187",2019,50
"19189",2019,38
"19189",2018,31
"19191",2018,9
"19191",2020,10
"19193",2018,56
"19197",2020,51
"16001",2019,9
"16001",2018,10
"16003",2018,51
"16003",2019,51
"16005",2018,45
"16005",2019,45
"16007",2020,41
"16007",2019,38
"16009",2020,71
"16011",2020,53
"16011",2019,57
"16011",2018,57
"16013",2019,18
"16017",2020,37
"16019",2019,29
"16021",2020,51
"16023",2019,46
"16025",2018,58
"16025",2019,54
"16027",2019,66
"16029",2018,19
"16029",2020,31
"16031",2019,71
"16033",2019,99
"16035",2019,54
"16037",2019,55
"16037",2018,43
"16039",2018,66
"16039",2020,64
"16041",2020,23
"16041",2018,28
"16043",2018,39
"16045",2018,67
"16045",2019,64
"16047",2018,79
"16049",2018,56
"16049",2020,55
"16049",2019,51
"16051",2019,22
"16053",2019,78
"16053",2018,80
"16055",2019,21
"16055",2018,24
"16057",2020,34
"16059",2020,42
"16061",2018,62
"16063",2018,72
"16065",2020,86
"16067",2018,80
"16067",2019,80
"16067",2020,80
"16069",2018,36
"16071",2019,32
"16071",2020,33
"16073",2019,92
"16073",2020,89
"16075",2018,54
"16077",2019,65
"16077",2018,62
"16079",2020,74
"16079",2018,69
"16081",2019,12
"16081",2018,18
"16083",2020,47
"16085",2019,12
"16085",2018,15
"16087",2019,76
"16087",2018,70
"16087",2020,80
"17001",2020,35
"17003",2020,93
"17003",2019,95
"17005",2020,38
"17007",2020,30
"17007",2019,28
"17007",2018,27
"17009",2019,30
"17009",2018,31
"17011",2020,37
"17011",2019,34
"17013",2020,41
"17013",2019,42
"17017",2019,58
"17019",2020,38
"17019",2018,32
"17021",2019,44
"17021",2020,45
"17021",2018,45
"17023",2018,49
"17025",2020,61
"17025",2018,60
"17027",2019,15
"17027",2018,13
"17029",2019,62
"17031",2018,43
"17031",2020,40
"17035",2019,50
"17035",2018,54
"17039",2019,33
"17041",2020,64
"17043",2018,3
"17047",2019,47
"17047",2020,49
"17047",2018,47
"17049",2019,28
"17051",2020,71
"17051",2019,71
"17053",2018,49
"17055",2019,76
"17055",2020,75
"17057",2019,54
"17059",2020,76
"17059",2019,67
"17063",2018,12
"17063",2020,12
"17067",2019,34
"17069",2019,88
"17069",2018,79
"17071",2020,32
"17071",2018,42
"17073",2018,25
"17075",2019,47
"17077",2018,69
"17077",2020,76
"17079",2018,18
"17081",2019,66
"17081",2018,65
"17085",2019,16
"17085",2018,15
"17087",2019,52
"17087",2018,46
"17089",2020,13
"17091",2020,44
"17091",2018,40
"17093",2018,2
"17093",2019,3
"17095",2020,63
"17095",2019,64
"17097",2018,5
"17097",2020,5
"17099",2020,41
"17099",2019,39
"17101",2020,71
"17103",2019,33
"17103",2018,34
"17103",2020,30
"17105",2020,47
"17107",2018,39
"17107",2020,28
"17109",2020,53
"17109",2019,53
"17111",2018,4
"17111",2019,4
"17113",2020,12
"17115",2018,56
"17115",2020,53
"17117",2019,39
"17119",2019,26
"17123",2018,19
"17123",2019,22
"17125",2019,51
"17127",2018,60
"17129",2018,18
"17133",2020,3
"17133",2019,3
"17133",2018,3
"17135",2018,50
"17135",2019,49
"17135",2020,51
"17137",2020,48
